"dv","term","outcome_level","estimate","conf.low","conf.high","p.value","sig"
"Fairness of income distribution","alberta_bin","0",0.008,-0.006,0.022,0.269,""
"Fairness of income distribution","alberta_bin","0.33",0.021,-0.015,0.058,0.25,""
"Fairness of income distribution","alberta_bin","0.66",-0.014,-0.038,0.011,0.27,""
"Fairness of income distribution","alberta_bin","1",-0.016,-0.042,0.011,0.242,""
"Fairness of income distribution","employ_fulltime_bin","0",0.001,-0.009,0.012,0.815,""
"Fairness of income distribution","employ_fulltime_bin","0.33",0.003,-0.026,0.033,0.815,""
"Fairness of income distribution","employ_fulltime_bin","0.66",-0.002,-0.02,0.016,0.815,""
"Fairness of income distribution","employ_fulltime_bin","1",-0.003,-0.024,0.019,0.815,""
"Fairness of income distribution","ideo_define_QC_first_bin","0",0.035,0.007,0.062,0.015,"*"
"Fairness of income distribution","ideo_define_QC_first_bin","0.33",0.081,0.028,0.135,0.003,"**"
"Fairness of income distribution","ideo_define_QC_first_bin","0.66",-0.063,-0.114,-0.013,0.014,"*"
"Fairness of income distribution","ideo_define_QC_first_bin","1",-0.052,-0.083,-0.022,0.001,"**"
"Fairness of income distribution","ideo_interest_politics_num","0",0.025,0.007,0.043,0.007,"**"
"Fairness of income distribution","ideo_interest_politics_num","0.33",0.07,0.02,0.119,0.006,"**"
"Fairness of income distribution","ideo_interest_politics_num","0.66",-0.043,-0.073,-0.012,0.006,"**"
"Fairness of income distribution","ideo_interest_politics_num","1",-0.052,-0.089,-0.014,0.007,"**"
"Fairness of income distribution","ideo_right_num","0",-0.124,-0.155,-0.093,0,"***"
"Fairness of income distribution","ideo_right_num","0.33",-0.347,-0.412,-0.282,0,"***"
"Fairness of income distribution","ideo_right_num","0.66",0.213,0.167,0.258,0,"***"
"Fairness of income distribution","ideo_right_num","1",0.258,0.204,0.313,0,"***"
"Fairness of income distribution","incomeHigh_bin","0",-0.013,-0.024,-0.002,0.019,"*"
"Fairness of income distribution","incomeHigh_bin","0.33",-0.04,-0.075,-0.005,0.025,"*"
"Fairness of income distribution","incomeHigh_bin","0.66",0.022,0.005,0.039,0.011,"*"
"Fairness of income distribution","incomeHigh_bin","1",0.032,0.002,0.061,0.036,"*"
"Fairness of income distribution","quebec_bin","0",-0.002,-0.024,0.019,0.829,""
"Fairness of income distribution","quebec_bin","0.33",-0.007,-0.067,0.054,0.83,""
"Fairness of income distribution","quebec_bin","0.66",0.004,-0.032,0.04,0.827,""
"Fairness of income distribution","quebec_bin","1",0.005,-0.041,0.051,0.831,""
"Fairness of income distribution","region_eastcoast_bin","0",0.004,-0.01,0.017,0.596,""
"Fairness of income distribution","region_eastcoast_bin","0.33",0.01,-0.026,0.046,0.59,""
"Fairness of income distribution","region_eastcoast_bin","0.66",-0.006,-0.029,0.017,0.598,""
"Fairness of income distribution","region_eastcoast_bin","1",-0.007,-0.034,0.019,0.587,""
"Fairness of income distribution","ses_age","0",0,0,0,0.943,""
"Fairness of income distribution","ses_age","0.33",0,-0.001,0.001,0.943,""
"Fairness of income distribution","ses_age","0.66",0,-0.001,0.001,0.943,""
"Fairness of income distribution","ses_age","1",0,-0.001,0.001,0.943,""
"Fairness of income distribution","ses_citizenYes_bin","0",0.006,-0.006,0.019,0.331,""
"Fairness of income distribution","ses_citizenYes_bin","0.33",0.018,-0.02,0.056,0.346,""
"Fairness of income distribution","ses_citizenYes_bin","0.66",-0.011,-0.031,0.01,0.319,""
"Fairness of income distribution","ses_citizenYes_bin","1",-0.014,-0.044,0.016,0.36,""
"Fairness of income distribution","ses_french_bin","0",0.007,-0.014,0.028,0.526,""
"Fairness of income distribution","ses_french_bin","0.33",0.019,-0.038,0.076,0.517,""
"Fairness of income distribution","ses_french_bin","0.66",-0.012,-0.05,0.026,0.534,""
"Fairness of income distribution","ses_french_bin","1",-0.014,-0.054,0.027,0.507,""
"Fairness of income distribution","ses_male_bin","0",-0.017,-0.027,-0.007,0.001,"**"
"Fairness of income distribution","ses_male_bin","0.33",-0.048,-0.075,-0.02,0.001,"**"
"Fairness of income distribution","ses_male_bin","0.66",0.03,0.012,0.047,0.001,"**"
"Fairness of income distribution","ses_male_bin","1",0.035,0.015,0.055,0.001,"**"
"Fairness of income distribution","trust_social_bin","0",-0.009,-0.018,0.001,0.077,"."
"Fairness of income distribution","trust_social_bin","0.33",-0.024,-0.051,0.002,0.075,"."
"Fairness of income distribution","trust_social_bin","0.66",0.015,-0.001,0.031,0.075,"."
"Fairness of income distribution","trust_social_bin","1",0.018,-0.002,0.038,0.076,"."
